"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4469985961914","50.5960006713867","50.4790000915527","50.5110015869141","50.8839988708496","50.5320014953613","50.4389991760254","50.3619995117188","50.3160018920898","50.076000213623","50.242000579834","50.798999786377","46.9580001831055","47.1370010375977","47.2949981689453","47.2120018005371","47.1220016479492","47.0480003356934","47.015998840332","47.0429992675781","47.2400016784668","47.5029983520508","47.7159996032715","48.0040016174316","48.0349998474121","48.0480003356934","48.0340003967285",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8570022583008","65.1320037841797","65.9739990234375","65.7379989624023","65.4670028686523","65.2919998168945","65.2289962768555","65.161003112793","65.1780014038086","65.1760025024414","65.1460037231445","64.8010025024414","64.8499984741211","64.6190032958984","64.1650009155273","63.7430000305176","63.2709999084473","63.1129989624023","63.3860015869141","63.5460014343262","63.5940017700195","63.6290016174316","63.648998260498","63.7439994812012","63.7949981689453","63.8110008239746","63.7529983520508",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.4410018920898","55.7130012512207","54.4150009155273","54.0670013427734","53.8030014038086","53.7980003356934","54.8790016174316","54.1339988708496","53.7060012817383","53.7309989929199","47.9889984130859","52.5029983520508","51.9930000305176","50.951000213623","49.9679985046387","49.560001373291","48.5359992980957","48.0970001220703","46.992000579834","46.2159996032715","45.5859985351563","45.1129989624023","43.2280006408691","41.5670013427734","41.7140007019043","42.1069984436035","42.4210014343262",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5393899121318","41.9564576112977","41.8083929535439","42.0401072111148","41.6341046769013","41.7208218235013","41.727613878219","41.6188352576099","42.447704607551","41.9487173663784","41.7526850348512","41.3335754567467","41.3948648123472","42.0991761215493","42.6071768597731","42.7313504441182","43.2673468104445","43.5979327821982","43.846038298677","44.1762762305976","43.7009618734312","43.7304939498724","43.9924717587435","43.9906241883541","44.1093188118726","44.2471610411104","44.339611214521",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.661003112793","71.0410003662109","71.6240005493164","73.1520004272461","73.9860000610352","72.8470001220703","72.7539978027344","72.4440002441406","72.9520034790039","74.3600006103516","72.9609985351563","72.8219985961914","73.6330032348633","74.1740036010742","75.4069976806641","75.2180023193359","75.6100006103516","75.6869964599609","76.2080001831055","77.3379974365234","77.4420013427734","77.3519973754883","77.1520004272461","76.9599990844727","77.0179977416992","76.5429992675781","76.1210021972656",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1759986877441","53.640998840332","51.7970008850098","50.7760009765625","47.1790008544922","47.9949989318848","49.2630004882813","50.4580001831055","49.7060012817383","49.1790008544922","47.9739990234375","46.8520011901855","49.0789985656738","53.7050018310547","55.015998840332","56.2770004272461","56.3600006103516","56.1720008850098","55.935001373291","55.806999206543","55.7589988708496","55.931999206543","56.3160018920898","56.4790000915527","56.9410018920898","57.023998260498","57.0830001831055",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.6650009155273","48.8930015563965","48.2569999694824","48.5579986572266","48.1910018920898","47.7639999389648","48.2820014953613","47.6269989013672","47.617000579834","46.7410011291504","46.6539993286133","46.9099998474121","47.1380004882813","47.3950004577637","47.689998626709","48.0270004272461","48.423999786377","48.9679985046387","48.2029991149902","49.8790016174316","51.4280014038086","51.8530006408691","52.7179985046387","51.9469985961914","52.5410003662109","52.9000015258789","53.1689987182617",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
